country,food_name,description,url
Australia,"Australian Lamb Shoulder Arm and Blade (Trimmed to 1/8"" Fat)",Per 100g - Calories: 256kcal | Fat: 20.47g | Carbs: 0.00g | Protein: 16.68g,https://foods.fatsecret.com/calories-nutrition/usda/australian-lamb-shoulder-arm-and-blade-(trimmed-to-1-8-fat)
Australia,"Australian Lamb Shoulder Blade (Lean Only, Trimmed to 1/8"" Fat)",Per 100g - Calories: 164kcal | Fat: 9.09g | Carbs: 0.00g | Protein: 19.10g,https://foods.fatsecret.com/calories-nutrition/usda/australian-lamb-shoulder-blade-(lean-only-trimmed-to-1-8-fat)
Australia,"Australian Lamb Leg (Sirloin Chops, Boneless, Trimmed to 1/8"" Fat)",Per 100g - Calories: 208kcal | Fat: 14.38g | Carbs: 0.00g | Protein: 18.33g,https://foods.fatsecret.com/calories-nutrition/usda/australian-lamb-leg-(sirloin-chops-boneless-trimmed-to-1-8-fat)
Australia,"Australian Lamb Shoulder Arm (Lean Only, Trimmed to 1/8"" Fat)",Per 100g - Calories: 137kcal | Fat: 5.81g | Carbs: 0.00g | Protein: 19.88g,https://foods.fatsecret.com/calories-nutrition/usda/australian-lamb-shoulder-arm-(lean-only-trimmed-to-1-8-fat)
Australia,"Australian Lamb Leg (Whole (Shank and Sirloin), Trimmed to 1/8"" Fat)",Per 100g - Calories: 215kcal | Fat: 15.19g | Carbs: 0.00g | Protein: 18.24g,https://foods.fatsecret.com/calories-nutrition/usda/australian-lamb-leg-(whole-(shank-and-sirloin)-trimmed-to-1-8-fat)
Australia,"Australian Lamb Leg (Shank Half, Lean Only, Trimmed to 1/8"" Fat)",Per 100g - Calories: 133kcal | Fat: 5.10g | Carbs: 0.00g | Protein: 20.45g,https://foods.fatsecret.com/calories-nutrition/usda/australian-lamb-leg-(shank-half-lean-only-trimmed-to-1-8-fat)
Australia,"Australian Lamb Leg (Center Slice, Bone-In, Trimmed to 1/8"" Fat)",Per 100g - Calories: 195kcal | Fat: 12.56g | Carbs: 0.00g | Protein: 19.17g,https://foods.fatsecret.com/calories-nutrition/usda/australian-lamb-leg-(center-slice-bone-in-trimmed-to-1-8-fat)
Austria,Chocolatey Peanut Butter Cracker Sandwiches,Per 1 package - Calories: 190kcal | Fat: 8.00g | Carbs: 26.00g | Protein: 3.00g,https://foods.fatsecret.com/calories-nutrition/austin/chocolatey-peanut-butter-cracker-sandwiches
Austria,Cheese Crackers with Peanut Butter (39g),Per 1 package - Calories: 190kcal | Fat: 9.00g | Carbs: 24.00g | Protein: 4.00g,https://foods.fatsecret.com/calories-nutrition/austin/cheese-crackers-with-peanut-butter-(39g)
Austria,Zoo Animal Crackers,Per 15 crackers - Calories: 130kcal | Fat: 2.00g | Carbs: 25.00g | Protein: 2.00g,https://foods.fatsecret.com/calories-nutrition/austin/zoo-animal-crackers
Austria,PB & J Cracker Sandwiches (26g),Per 1 package - Calories: 130kcal | Fat: 6.00g | Carbs: 17.00g | Protein: 2.00g,https://foods.fatsecret.com/calories-nutrition/austin/pb-and-j-cracker-sandwiches-(26g)
Austria,Toasty Cracker Rounds,Per 12 crackers - Calories: 140kcal | Fat: 6.00g | Carbs: 21.00g | Protein: 2.00g,https://foods.fatsecret.com/calories-nutrition/austin/toasty-cracker-rounds
Austria,Cheese Crackers with Cheddar Cheese (26g),Per 1 package (4 crackers) - Calories: 130kcal | Fat: 6.00g | Carbs: 16.00g | Protein: 2.00g,https://foods.fatsecret.com/calories-nutrition/austin/cheese-crackers-with-cheddar-cheese-(26g)
Austria,Toasty Crackers with Peanut Butter (39g),Per 1 package (6 crackers) - Calories: 190kcal | Fat: 9.00g | Carbs: 24.00g | Protein: 4.00g,https://foods.fatsecret.com/calories-nutrition/austin/toasty-crackers-with-peanut-butter-(39g)
Austria,Reduced Fat Cheese Cracker with Cheddar Cheese,Per 1 package - Calories: 170kcal | Fat: 6.00g | Carbs: 25.00g | Protein: 3.00g,https://foods.fatsecret.com/calories-nutrition/austin/reduced-fat-cheese-cracker-with-cheddar-cheese
Austria,Zoo Animal Crackers (2 oz),Per 1 package - Calories: 230kcal | Fat: 3.50g | Carbs: 47.00g | Protein: 4.00g,https://foods.fatsecret.com/calories-nutrition/austin/zoo-animal-crackers-(2-oz)
Austria,Grilled Cheese Sandwich Crackers,Per 1 package - Calories: 190kcal | Fat: 9.00g | Carbs: 24.00g | Protein: 3.00g,https://foods.fatsecret.com/calories-nutrition/austin/grilled-cheese-sandwich-crackers
Austria,"Variety Pack Crackers (Cheese Crackers with Peanut Butter, Toasty Crackers with Peanut Butter, Cheese Crackers with Cheddar Cheese)",Per 1 each - Calories: 190kcal | Fat: 9.00g | Carbs: 24.00g | Protein: 4.00g,https://foods.fatsecret.com/calories-nutrition/austin/variety-pack-crackers-(cheese-crackers-with-peanut-butter-toasty-crackers-with-peanut-butter-cheese-crackers-with-cheddar-cheese)
Austria,PB & J Cracker Sandwiches (39g),Per 1 package - Calories: 190kcal | Fat: 8.00g | Carbs: 26.00g | Protein: 3.00g,https://foods.fatsecret.com/calories-nutrition/austin/pb-and-j-cracker-sandwiches-(39g)
Austria,Wheat Crackers with Cheddar Cheese,Per 1 package - Calories: 190kcal | Fat: 10.00g | Carbs: 24.00g | Protein: 3.00g,https://foods.fatsecret.com/calories-nutrition/austin/wheat-crackers-with-cheddar-cheese
Austria,Reduced Fat Cheese Crackers with Peanut Butter,Per 1 package (6 crackers) - Calories: 170kcal | Fat: 6.00g | Carbs: 24.00g | Protein: 3.00g,https://foods.fatsecret.com/calories-nutrition/austin/reduced-fat-cheese-crackers-with-peanut-butter
Austria,Toasty Crackers with Peanut Butter (26g),Per 1 package - Calories: 130kcal | Fat: 6.00g | Carbs: 16.00g | Protein: 3.00g,https://foods.fatsecret.com/calories-nutrition/austin/toasty-crackers-with-peanut-butter-(26g)
Austria,Sour Cream & Chives Crackers,Per 1 package - Calories: 200kcal | Fat: 10.00g | Carbs: 27.00g | Protein: 3.00g,https://foods.fatsecret.com/calories-nutrition/austin/sour-cream-and-chives-crackers
Austria,BBQ Pulled Pork,Per 2 oz - Calories: 70kcal | Fat: 2.00g | Carbs: 7.00g | Protein: 7.00g,https://foods.fatsecret.com/calories-nutrition/austin-blues/bbq-pulled-pork
Austria,Pineapple Cider,Per 1 can - Calories: 170kcal | Fat: 0.00g | Carbs: 18.00g | Protein: 0.00g,https://foods.fatsecret.com/calories-nutrition/austin-eastcider/pineapple-cider
Austria,Blood Orange Cider,Per 1 bottle - Calories: 150kcal | Fat: 0.00g | Carbs: 15.00g | Protein: 0.00g,https://foods.fatsecret.com/calories-nutrition/austin-eastcider/blood-orange-cider
Austria,Grass Fed Ground Beef,Per 4 oz - Calories: 216kcal | Fat: 16.00g | Carbs: 0.00g | Protein: 20.00g,https://foods.fatsecret.com/calories-nutrition/austin-black-naturals/grass-fed-ground-beef
Bahamas,Bahama Mama,Per 1 serving - Calories: 240kcal | Fat: 0.00g | Carbs: 32.00g | Protein: 1.00g,https://foods.fatsecret.com/calories-nutrition/bahama-breeze/bahama-mama
Bahamas,Bahama Mama,Per 1 hot dog - Calories: 710kcal | Fat: 43.00g | Carbs: 44.00g | Protein: 23.00g,https://foods.fatsecret.com/calories-nutrition/maverik/bahama-mama
